family,fast,slow,state,lead,is_lift,is_surr,is_excess,is_z
mas,1,6,nine-box,1,0.977831318177502,0.964970823410048,0.01286049476745399,0.6063848763319784
mas,1,6,product M=5,3,0.7836253692953963,0.7776015071667988,0.0060238621285975125,0.3981358602746557
mas,1,6,structural M=5,3,0.6984000105609977,0.6910100500674816,0.007389960493516035,0.45456483695763694
mas,1,6,nine-box,3,0.9648343290683399,0.9854229695329293,-0.020588640464589414,-1.769862655549309
mas,1,8,product M=5,1,0.7793581148825839,0.7336628852960484,0.04569522958653549,1.5992376405335558
mas,1,8,structural M=5,1,0.7091714602899758,0.6399877227810509,0.06918373750892493,3.1662500430495815
mas,1,8,nine-box,1,0.9984209877599667,0.9715449363731761,0.02687605138679061,1.1810764411607468
mas,1,8,product M=5,3,0.8296651203712676,0.8103119070981212,0.01935321327314643,1.2515223519471834
mas,1,8,structural M=5,3,0.7453203057855745,0.7187582710332171,0.02656203475235741,1.67569526187605
mas,1,8,nine-box,3,0.9801396644211824,0.9886518508941432,-0.008512186472960814,-0.6806692116026011
mas,1,10,product M=5,1,0.8144436096945984,0.7499813651970844,0.06446224449751403,2.107587424962788
mas,1,10,structural M=5,1,0.7264408307573129,0.6548032302627409,0.07163760049457202,3.204423719013245
mas,1,10,nine-box,1,1.0154515975591312,0.9759454270519422,0.039506170507188965,1.907157505997514
mas,1,10,product M=5,3,0.8288675914338481,0.8156154153322074,0.013252176101640756,0.85934994775827
mas,1,10,structural M=5,3,0.7283872280794308,0.723052068978511,0.005335159100919751,0.3305744600238293
mas,1,10,nine-box,3,0.9780902258338432,0.9902607015749189,-0.01217047574107566,-1.0054654533919323
mas,1,13,product M=5,1,0.8060364870288101,0.75904213461284,0.046994352415970164,1.5084366701865715
mas,1,13,structural M=5,1,0.6985602846230794,0.6598632833620511,0.03869700126102826,1.76802150035894
mas,1,13,nine-box,1,1.0092426618324126,0.9843457812184665,0.024896880613946126,1.1662362939677888
mas,1,13,product M=5,3,0.8076434847850137,0.8001449244097654,0.00749856037524832,0.5471450644231356
mas,1,13,structural M=5,3,0.697847537222596,0.697701146169658,0.0001463910529380108,0.0097733254842195
mas,1,13,nine-box,3,0.9904436145747155,0.9944868049474962,-0.0040431903727806695,-0.40504569464477447
mas,1,16,product M=5,1,0.8201848914201273,0.7442590033547137,0.07592588806541356,2.6388715828021176
mas,1,16,structural M=5,1,0.6903009388242648,0.6417082629217761,0.048592675902488724,2.303071092284867
mas,1,16,nine-box,1,1.0028276946701977,0.9896545385543891,0.013173156115808604,0.5746478858832162
mas,1,16,product M=5,3,0.8005454481184463,0.7749284929379034,0.025616955180542855,1.7565639024820112
mas,1,16,structural M=5,3,0.6977473111986818,0.6710329541406204,0.026714357058061466,1.904845453415921
mas,1,16,nine-box,3,0.9747460704121658,0.9986349947631098,-0.02388892435094403,-2.2684132079614248
mas,1,21,product M=5,1,0.8202292283424455,0.7398180411628795,0.08041118717956597,2.8390413560946715
mas,1,21,structural M=5,1,0.7249598253973271,0.6514066355827254,0.07355318981460168,2.8837374579711295
mas,1,21,nine-box,1,1.0149831387775508,1.0099292144893988,0.00505392428815199,0.24325347624856763
mas,1,21,product M=5,3,0.7692608289999279,0.7495359209062658,0.01972490809366212,1.401939901550557
mas,1,21,structural M=5,3,0.6729928768122466,0.658831250570519,0.014161626241727676,0.8838662435934919
mas,1,21,nine-box,3,0.9893649221937558,1.008375597298954,-0.01901067510519827,-2.16649322771706
mas,1,27,product M=5,1,0.8224371018719782,0.740974078682273,0.08146302318970511,2.6892157260480234
mas,1,27,structural M=5,1,0.719585473609142,0.6644686898823768,0.055116783726765206,2.1038494010000828
mas,1,27,nine-box,1,1.0766888118454443,1.0844445347056513,-0.007755722860206982,-0.3521667475298431
