si,ti,mi,ai,cti,so,to,mo,ao,cto,dec,held,signal,batch,H
-0.007750672877724574,-3.6916849188105263,-0.7851188670160267,0.7142857142857143,28,-0.021797413252224063,-8.396869034932834,-0.8834710491567059,0.75,28,2.274535671272383,True,dts_20_120,trend-duration,10
-0.007356600756202425,-4.173571128308033,-0.7501973072975335,0.6071428571428571,28,-0.02411325474035611,-11.329256670037054,-0.9548195667701129,0.7857142857142857,28,2.7145234432915823,True,dts_20_120,trend-duration,15
-0.011085323608960196,-7.153316253079058,-0.9123836726253852,0.6785714285714286,28,-0.031400472853135464,-17.22419558301032,-0.9683750163261425,0.8928571428571429,28,2.407861609025936,True,dts_20_120,trend-duration,20
-0.007318530007651813,-2.675147553720407,-0.5237493919588558,0.6785714285714286,28,-0.016738110427107433,-4.847173961601723,-0.8226663741251804,0.6428571428571429,28,1.8119277027768488,True,ats_20_120,trend-duration,5
-0.009623916099734064,-4.5781845858977315,-0.847151939686436,0.75,28,-0.020290045749949415,-7.82316402147154,-0.8080098291765266,0.75,28,1.7087917436901474,True,ats_20_120,trend-duration,10
-0.008090307349064019,-4.572312435390723,-0.7604943265350949,0.6428571428571429,28,-0.020974949926164166,-9.855552311233513,-0.9453439272919445,0.75,28,2.1554853152530282,True,ats_20_120,trend-duration,15
-0.010932763968250298,-7.026236648470409,-0.8340877239270935,0.7142857142857143,28,-0.027438905402443647,-15.00335123028453,-0.9761114076042982,0.9285714285714286,28,2.135332466143268,True,ats_20_120,trend-duration,20
-0.005267638939486785,-1.894234094236633,-0.6845901773974179,0.6785714285714286,28,-0.028653592252908533,-8.319982675367912,-0.878718612770996,0.8928571428571429,28,4.392267408068602,True,dts_20_250,trend-duration,5
-0.014336458743811842,-6.72178087216892,-0.9758295993743796,0.8571428571428571,28,-0.02444775698888052,-9.251129741187064,-0.9066394744183732,0.8214285714285714,28,1.3762914794635366,True,dts_20_250,trend-duration,10
-0.014555028516325452,-8.06678461808134,-0.9723606878413094,0.75,28,-0.024993896825361156,-11.573494373562504,-0.9144887097468424,0.8214285714285714,28,1.4347097290314446,True,dts_20_250,trend-duration,15
-0.016711077669778168,-10.547338760727767,-0.9656837573757071,0.75,28,-0.035536384608459703,-19.167493547408114,-0.9626055056172406,0.8928571428571429,28,1.8172824427311327,True,dts_20_250,trend-duration,20
-0.006954619200301271,-2.503476497669419,-0.7767900319379542,0.7142857142857143,28,-0.02381689251954866,-6.91379764322558,-0.8915254849696254,0.8571428571428571,28,2.761678669506942,True,ats_20_250,trend-duration,5
-0.014699153012214305,-6.890153158373093,-0.9901592726919018,0.7857142857142857,28,-0.02205814308642501,-8.364339763662684,-0.9021291013006832,0.7857142857142857,28,1.2139555640353394,True,ats_20_250,trend-duration,10
-0.015140632883395122,-8.377035438993644,-0.8707946984308719,0.7142857142857143,28,-0.02025018021055297,-9.372014256271251,-0.9281115492745607,0.8214285714285714,28,1.1187745741943687,True,ats_20_250,trend-duration,15
-0.017997206161528917,-11.326185091635367,-0.9492650617967093,0.7857142857142857,28,-0.027383762404337486,-14.701710048408833,-0.9867379736294517,0.8928571428571429,28,1.2980284119907561,True,ats_20_250,trend-duration,20
-0.024755085080821138,-8.294073225467711,-0.7737037591196034,0.8214285714285714,28,-0.04606662408892548,-13.419851787895686,-0.9225297995890918,0.8928571428571429,28,1.6180049805551273,True,dts_60_750,trend-duration,5
-0.027182881599098818,-12.014188346370055,-0.7607842356035798,0.8571428571428571,28,-0.04433418694402119,-17.047135850626017,-0.9572345709182067,0.8571428571428571,28,1.418916980419789,True,dts_60_750,trend-duration,10
-0.02060460862162858,-10.891434865620871,-0.8860195819524153,0.7857142857142857,28,-0.03891236699889422,-18.037802796974855,-0.9118274561983838,0.8928571428571429,28,1.656145679566216,True,dts_60_750,trend-duration,15
-0.014389796411030414,-8.671790025548715,-0.8027439591211625,0.8214285714285714,28,-0.038476536760033736,-20.765546707628086,-0.9544437536049718,0.8928571428571429,28,2.3946090307132555,True,dts_60_750,trend-duration,20
