block,pair_a,pair_b,observed,expected,kappa,shared_leg
oos,EURCAD,EURGBP,0.32037776970577553,0.3029959457760243,0.024937909362813766,EUR
oos,EURCAD,EURJPY,0.2332001452960407,0.2537983527925617,-0.027604076691075508,EUR
oos,EURCAD,EURNZD,0.3265528514347984,0.27449024008283934,0.07176004270142913,EUR
oos,EURCAD,EURUSD,0.3505266981474755,0.2902196052280714,0.08496584769544445,EUR
oos,EURCAD,GBPAUD,0.26734471485652017,0.2797762873747742,-0.017260709832700165,none
oos,EURCAD,GBPCAD,0.46458409008354523,0.2887278534700249,0.24724184332460603,CAD
oos,EURCAD,GBPCHF,0.28296403922993096,0.2845777066632326,-0.00225554535877744,none
oos,EURCAD,GBPJPY,0.265528514347984,0.28750962032107363,-0.03085109160771417,none
oos,EURCAD,GBPNZD,0.23937522702506356,0.24953829715731962,-0.013542423409161697,none
oos,EURCAD,GBPUSD,0.29240828187431894,0.25886352688062514,0.04526123893553239,none
oos,EURCAD,NZDCAD,0.341808935706502,0.26983699320056226,0.0985696917478991,CAD
oos,EURCAD,NZDCHF,0.34507809662186706,0.27548575282071835,0.09605379614284938,none
oos,EURCAD,NZDJPY,0.2796948783145659,0.2704679464030192,0.012647740241231406,none
oos,EURCAD,NZDUSD,0.33272793316382127,0.3028622871407066,0.04284038214002428,none
oos,EURCAD,USDCAD,0.3134762077733382,0.30079671366005767,0.018134202686106837,CAD
