date,pair,state,age,chg60,typical,rel_age,oos
1999-04-14,NZDUSD,drifting (straight+small),1.0,2.0,3.0,0.3333333333333333,False
1999-04-14,USDCAD,drifting (straight+small),5.0,3.0,2.5,2.0,False
1999-04-14,USDCHF,volatile chop (choppy+large),3.0,4.0,2.0,1.5,False
1999-04-14,USDJPY,dead (choppy+small),10.0,1.0,3.0,3.3333333333333335,False
1999-04-15,AUDCAD,dead (choppy+small),2.0,3.0,3.0,0.6666666666666666,False
1999-04-15,AUDCHF,drifting (straight+small),1.0,5.0,2.0,0.5,False
1999-04-15,AUDJPY,dead (choppy+small),1.0,5.0,3.0,0.3333333333333333,False
1999-04-15,AUDNZD,drifting (straight+small),1.0,4.0,3.0,0.3333333333333333,False
1999-04-15,AUDUSD,dead (choppy+small),2.0,4.0,2.0,1.0,False
1999-04-15,CADCHF,trending (straight+large),2.0,6.0,2.0,1.0,False
1999-04-15,CADJPY,dead (choppy+small),1.0,3.0,2.0,0.5,False
1999-04-15,CHFJPY,dead (choppy+small),8.0,2.0,3.0,2.6666666666666665,False
1999-04-15,EURAUD,trending (straight+large),2.0,4.0,3.0,0.6666666666666666,False
1999-04-15,EURCAD,trending (straight+large),2.0,6.0,2.0,1.0,False
1999-04-15,EURCHF,drifting (straight+small),1.0,4.0,2.0,0.5,False
1999-04-15,EURGBP,volatile chop (choppy+large),7.0,3.0,3.0,2.3333333333333335,False
