pair,day,level,size,dir,r,pnl,base_ccy,quote_ccy
USDCAD,2020-09-25,2,2.0,1,-0.025707407344624848,-0.051414814689249695,USD,CAD
CADCHF,2020-09-28,1,1.0,-1,-0.013303032253700397,-0.013303032253700397,CAD,CHF
CHFJPY,2020-09-28,1,1.0,-1,0.13745934318128275,0.13745934318128275,CHF,JPY
EURUSD,2020-09-28,2,2.0,-1,-0.005358459566799458,-0.010716919133598917,EUR,USD
GBPCHF,2020-09-28,1,1.0,-1,0.00013099330442506427,0.00013099330442506427,GBP,CHF
USDCAD,2020-09-28,2,2.0,1,-0.025707407344624848,-0.051414814689249695,USD,CAD
CADCHF,2020-09-29,1,1.0,-1,-0.013303032253700397,-0.013303032253700397,CAD,CHF
EURUSD,2020-09-29,2,2.0,-1,-0.005358459566799458,-0.010716919133598917,EUR,USD
GBPJPY,2020-09-29,1,1.0,1,0.01343354866422405,0.01343354866422405,GBP,JPY
USDCAD,2020-09-29,2,2.0,1,-0.025707407344624848,-0.051414814689249695,USD,CAD
CADCHF,2020-09-30,1,1.0,-1,-0.013303032253700397,-0.013303032253700397,CAD,CHF
EURUSD,2020-09-30,2,2.0,-1,-0.005358459566799458,-0.010716919133598917,EUR,USD
GBPJPY,2020-09-30,1,1.0,1,0.01343354866422405,0.01343354866422405,GBP,JPY
USDCAD,2020-09-30,2,2.0,1,-0.025707407344624848,-0.051414814689249695,USD,CAD
CADCHF,2020-10-01,1,1.0,-1,-0.013303032253700397,-0.013303032253700397,CAD,CHF
EURUSD,2020-10-01,2,2.0,-1,-0.005358459566799458,-0.010716919133598917,EUR,USD
GBPAUD,2020-10-01,2,2.0,-1,-0.2499999999999991,-0.4999999999999982,GBP,AUD
GBPJPY,2020-10-01,1,1.0,1,0.01343354866422405,0.01343354866422405,GBP,JPY
USDCAD,2020-10-01,2,2.0,1,-0.025707407344624848,-0.051414814689249695,USD,CAD
CADCHF,2020-10-02,1,1.0,-1,-0.013303032253700397,-0.013303032253700397,CAD,CHF
EURUSD,2020-10-02,2,2.0,-1,-0.005358459566799458,-0.010716919133598917,EUR,USD
GBPJPY,2020-10-02,1,1.0,1,0.01343354866422405,0.01343354866422405,GBP,JPY
USDCAD,2020-10-02,2,2.0,1,-0.025707407344624848,-0.051414814689249695,USD,CAD
CADCHF,2020-10-05,1,1.0,-1,-0.013303032253700397,-0.013303032253700397,CAD,CHF
GBPAUD,2020-10-05,2,2.0,1,0.0483653402955911,0.0967306805911822,GBP,AUD
GBPJPY,2020-10-05,1,1.0,1,0.01343354866422405,0.01343354866422405,GBP,JPY
AUDUSD,2020-10-06,2,2.0,-1,-0.12499999999999943,-0.24999999999999886,AUD,USD
CADCHF,2020-10-06,1,1.0,-1,-0.013303032253700397,-0.013303032253700397,CAD,CHF
GBPAUD,2020-10-06,2,2.0,1,0.0483653402955911,0.0967306805911822,GBP,AUD
GBPJPY,2020-10-06,2,2.0,1,-0.019599015141572147,-0.039198030283144294,GBP,JPY
NZDCHF,2020-10-06,1,1.0,-1,-0.12251266085945975,-0.12251266085945975,NZD,CHF
AUDCAD,2020-10-07,2,1.9467004780982455,-1,0.12850512118007745,0.25016098083932975,AUD,CAD
AUDUSD,2020-10-07,2,1.9467004780982455,-1,-0.12499999999999943,-0.24333755976227958,AUD,USD
GBPAUD,2020-10-07,2,1.9467004780982455,1,0.0483653402955911,0.09415283107681154,GBP,AUD
GBPJPY,2020-10-07,2,1.9467004780982455,1,-0.019599015141572147,-0.038153412146353254,GBP,JPY
NZDCHF,2020-10-07,1,0.9733502390491228,-1,-0.12251266085945975,-0.11924772773409925,NZD,CHF
AUDCAD,2020-10-08,2,1.9467004780982455,-1,0.12850512118007745,0.25016098083932975,AUD,CAD
AUDUSD,2020-10-08,2,1.9467004780982455,-1,-0.12499999999999943,-0.24333755976227958,AUD,USD
