signal,shift,si,so,to,ao,mo
xh_agree,4221,-0.0006975657666533125,-0.0009969650783347736,-0.35328078206644,0.4642857142857143,
xh_ends,4221,0.0008417216003532171,0.0013230250467538562,1.21202558032925,0.5714285714285714,
mtf_agree,4221,0.0013396719325973877,0.0029050738294764877,1.12599842860226,0.6071428571428571,
conf_2of4,4221,0.0023631016624364614,0.000692675004011066,0.3413858300526081,0.5357142857142857,
conf_3of4,4221,0.0027625169735624594,0.0016656417876317509,0.6677312265254659,0.4642857142857143,
conf_4of4,4221,-0.0006505786639041557,0.00037690826404323293,0.13473498181350127,0.42857142857142855,
conf_3of4_and_persist,4221,0.0050553977162961635,-0.0032251858808148037,-0.7210159457268229,0.5357142857142857,
conf_3of4_and_mtf,4221,-0.0019283192765292337,-0.0009199340044037851,-0.33151901095306696,0.5,
conf_all_three,4221,0.0014391595147918523,-0.0032955687848397258,-0.6796929432425491,0.5714285714285714,
eff_trail_5,4250,0.0039381265783115516,0.00041510337987113455,0.21982385301963084,0.5,0.34305280536805294
eff_trail_10,4250,0.0053549179700842775,-0.008128231772184163,-4.3085392113097365,0.6785714285714286,-0.9184166262946291
eff_trail_15,4250,0.0008695548120347674,-0.007703276271468218,-4.049904971333767,0.6071428571428571,-0.8934281327220245
eff_trail_20,4250,-0.0005738245339577397,-0.006927462977149079,-3.635340745607111,0.5714285714285714,-0.8923284188430421
persist_ratio,4250,-0.0038422074276339147,-0.006390697805907369,-3.3564132299032647,0.5714285714285714,-0.7857212983614397
persist_log,4250,-0.003886912937805659,-0.0061781446735896806,-3.2452076879166323,0.5714285714285714,-0.7942086108327844
persist_diff,4250,-0.0029506131350301446,-0.0048858180593889244,-2.579299833956632,0.6785714285714286,-0.7877394457112172
ts_slope,4250,-0.005224870033549295,-0.003522256080969316,-1.8635964447572964,0.6428571428571429,-0.6964007926003372
ts_curve,4250,0.00043140257994928044,0.005402367647940859,2.845895326059047,0.6428571428571429,0.7938312587578336
ts_disp,4250,-0.00031701696339214713,0.009442111132712705,4.991214862361796,0.5714285714285714,0.984723842148526
xh_agree,4250,0.0024047159744212685,-0.00092996343367711,-0.32012148391516154,0.4642857142857143,
xh_ends,4250,0.001561143078138921,-0.0022205871026122126,-1.4900834724152554,0.6785714285714286,
mtf_agree,4250,0.0037276913851647603,-0.0035219078400770434,-1.1002865149197514,0.6428571428571429,
conf_2of4,4250,0.0006819576787810937,-0.003034406038292877,-1.1214024272691987,0.5714285714285714,
conf_3of4,4250,-0.0002276555297245789,-0.0053337924579567346,-2.1320474954152786,0.6428571428571429,
