date,pair,trend_score,chop_score,shape2,activity,scale_28,combined2,settling,m_fail,m_retr,m_space,m_panel,sample
1999-04-19,NZDCAD,,,,weak,3.74325,,,,,,,is
1999-04-19,NZDCHF,,,,weak,3.93027,,,,,,,is
1999-04-19,NZDJPY,,,,medium,3.65568,,,,,,,is
1999-04-19,USDCAD,,,,weak,3.28432,,,,,,,is
1999-04-19,USDCHF,,,,medium,4.44779,,,,,,,is
1999-04-19,USDJPY,,,,weak,3.60406,,,,,,,is
1999-04-19,CADCHF,,,,medium,4.49802,,,,,,,is
1999-04-19,CADJPY,,,,weak,3.57884,,,,,,,is
1999-04-19,CHFJPY,,,,weak,3.97818,,,,,,,is
1999-04-20,EURGBP,,,,strong,4.54592,,,,,,,is
1999-04-20,EURAUD,,,,medium,4.39555,,,,,,,is
1999-04-20,EURNZD,,,,medium,4.14133,,,,,,,is
1999-04-20,EURUSD,,,,medium,4.24532,,,,,,,is
1999-04-20,EURCAD,,,,medium,4.1834,,,,,,,is
1999-04-20,EURCHF,,,,weak,3.62675,,,,,,,is
1999-04-20,EURJPY,,,,weak,3.72477,,,,,,,is
1999-04-20,GBPAUD,,,,weak,3.8189,,,,,,,is
1999-04-20,GBPNZD,,,,weak,3.74553,,,,,,,is
1999-04-20,GBPUSD,,,,medium,4.19718,,,,,,,is
1999-04-20,GBPCAD,,,,weak,3.00059,,,,,,,is
1999-04-20,GBPCHF,,,,medium,4.03285,,,,,,,is
1999-04-20,GBPJPY,,,,weak,3.38429,,,,,,,is
1999-04-20,AUDNZD,,,,weak,3.33252,,,,,,,is
1999-04-20,AUDUSD,,,,medium,4.19049,,,,,,,is
1999-04-20,AUDCAD,,,,weak,3.83887,,,,,,,is
1999-04-20,AUDCHF,,,,medium,4.51243,,,,,,,is
1999-04-20,AUDJPY,,,,medium,3.67178,,,,,,,is
1999-04-20,NZDUSD,,,,weak,3.8147,,,,,,,is
1999-04-20,NZDCAD,,,,weak,3.69245,,,,,,,is
1999-04-20,NZDCHF,,,,medium,4.08442,,,,,,,is
1999-04-20,NZDJPY,,,,medium,3.54508,,,,,,,is
1999-04-20,USDCAD,,,,weak,3.17123,,,,,,,is
1999-04-20,USDCHF,,,,medium,4.40987,,,,,,,is
1999-04-20,USDJPY,,,,weak,3.39165,,,,,,,is
1999-04-20,CADCHF,,,,medium,4.39775,,,,,,,is
1999-04-20,CADJPY,,,,weak,3.32137,,,,,,,is
1999-04-20,CHFJPY,,,,medium,4.03083,,,,,,,is
1999-04-21,EURGBP,,,,strong,4.49923,,,,,,,is
1999-04-21,EURAUD,,,,medium,4.44429,,,,,,,is
1999-04-21,EURNZD,,,,medium,4.18195,,,,,,,is
1999-04-21,EURUSD,,,,medium,4.20926,,,,,,,is
1999-04-21,EURCAD,,,,medium,4.22201,,,,,,,is
1999-04-21,EURCHF,,,,weak,3.18713,,,,,,,is
1999-04-21,EURJPY,,,,weak,3.71798,,,,,,,is
1999-04-21,GBPAUD,,,,weak,3.99665,,,,,,,is
