day,pair,dir,size,entry,stop
2016-04-12,NZDUSD,1,1.0,0.0,0.0
2016-04-13,AUDCHF,1,1.0,0.0,0.0
2016-04-13,AUDJPY,-1,1.0,0.0,0.0
2016-04-13,CADJPY,1,3.0,0.0,0.0
2016-04-13,CHFJPY,-1,3.0,0.0,0.0
2016-04-13,EURCHF,-1,1.0,0.0,0.0
2016-04-13,NZDUSD,1,1.0,0.0,0.0
2016-04-14,AUDCHF,1,2.9551944897444553,0.0,0.0
2016-04-14,CHFJPY,-1,2.9551944897444553,0.0,0.0
2016-04-14,NZDCHF,1,0.9850648299148184,0.0,0.0
2016-04-14,NZDUSD,1,0.9850648299148184,0.0,0.0
2016-04-15,AUDCHF,1,3.0,0.0,0.0
2016-04-15,CADJPY,-1,3.0,0.0,0.0
2016-04-15,CHFJPY,-1,1.0,0.0,0.0
2016-04-15,NZDCHF,1,1.0,0.0,0.0
2016-04-15,NZDUSD,1,1.0,0.0,0.0
2016-04-18,AUDCHF,1,3.0,0.0,0.0
2016-04-18,CHFJPY,-1,1.0,0.0,0.0
2016-04-18,NZDCHF,1,1.0,0.0,0.0
2016-04-18,NZDUSD,1,1.0,0.0,0.0
2016-04-19,AUDCHF,1,3.0,0.0,0.0
2016-04-19,CADJPY,1,1.0,0.0,0.0
2016-04-19,CHFJPY,-1,1.0,0.0,0.0
2016-04-19,NZDCHF,1,1.0,0.0,0.0
2016-04-19,NZDUSD,1,1.0,0.0,0.0
2016-04-20,AUDCHF,1,3.0,0.0,0.0
2016-04-20,CADJPY,1,3.0,0.0,0.0
2016-04-20,CHFJPY,-1,1.0,0.0,0.0
2016-04-20,EURCHF,1,1.0,0.0,0.0
2016-04-21,AUDCHF,1,3.0,0.0,0.0
2016-04-21,CADJPY,1,1.0,0.0,0.0
2016-04-21,CHFJPY,-1,1.0,0.0,0.0
2016-04-21,EURCHF,1,1.0,0.0,0.0
2016-04-21,NZDUSD,-1,1.0,0.0,0.0
2016-04-22,AUDCAD,-1,3.0,0.0,0.0
2016-04-22,AUDCHF,1,1.0,0.0,0.0
